100 * ( 40 / 100 + 3 * ( 30 / 100 ) ) / ( 1 + 3 ) 	32.5
500 * 100 / ( 100 + 5 - ( 100 - 5 ) ) 	5000
65 * 6	390
13 + 8	21
11 / 7 + ( 2 - 4 / 5 ) / ( 2 + 4 / 5 ) 	2
3 ** 2	9
14 / ( 3 / 4 - 40 / 100 ) 	40
 ( 5 / 8 - 1 / 2 ) * 2	0.25
 ( 3 * 6000 / ( 2 + 3 ) / ( 6000 / ( 2 + 3 ) ) - 1 ) * 100	200
 ( 40 / 8 + 96 / 8 ) / 2	8.5
 ( 1 - 3 * 1 / 25 ) / ( 1 / 20 ) 	17.6
5 * 3 * 50 / ( 5 - 3 ) 	375
 ( 40 / 100 * 30 - 20 / 100 * 30 ) / ( 40 / 100 - 20 / 100 ) 	30
30 / 100 / ( 20 / 100 ) 	1.5
math.sqrt ( 25 / ( 25 + 144 ) ) * 13	5
math.sqrt ( 25 / ( 25 + 144 ) ) * 13	5
100 * ( 1 / 20 + 3 / 10 ) 	35
15 / 25	0.6
 ( 100 + 20 ) * ( 100 + 5 ) / 100 - 100	26
2 / 7 / 2 / ( 2 / 7 / 2 + 1 - 2 / 7 ) * 100 * 3	50
20 / 1	20
36 / 2 - 1	17
15 * 10 / ( 15 - 10 ) 	30
1 / ( 5 * 10 ) / ( 1 / ( 10 * 10 ) ) 	2
1 + 2 ** 2 + 3 ** 2 + 4 ** 2 + ( 4 + 1 ) ** 2 + 8 ** 2 - ( 4 + 3 + 8 + 2 + 3 + 4 + 1 + 4 + 3 + 2 + 3 + 8 ) 	74
19 * 15 - 5 * 14 - 9 * 16	71
 ( 100 - 20 ) / 100 * ( ( 100 - 30 ) / 100 * 40.00 ) 	22.4
45 - 60 / 3 - 60 / 3	5
math.sqrt ( ( 80 / 4 ) ** 2 - 12 ** 2 ) 	16
25 / 40	0.62
3 / 1000 / ( 1 / 100 ) 	0.3
math.sqrt ( 5 / 2 ) 	1.58
7420 / 26.50 / 2 - 2 * 20	100
 ( 30 * 40 - 40 * 12 ) / 40	18
math.floor ( 12 * 9.65 ) 	115
110 / ( ( 30 + 3 ) / 3.6 ) 	12
 ( 3000 + 1000 ) / ( 1 - 30 / 100 ) 	5714.29
204 - 64 * 3	12
 ( 110 + 200 ) / ( ( 80 + 65 ) * 0.2778 ) 	7.7
 ( 37 + 1 / 2 ) / ( 1 / 10 ) 	375
 ( 100 - ( 12 + 24 + 15 + 29 + 8 ) ) * 3600 / 10 / 100	43.2
100 ** 2 * 6 / 100 * 3 / 4	450
9 + 9	18
10 * 2 + ( 21.5 - 10 * 2 ) * 10	35
 ( 8 - 3 ) / 8 * ( ( 8 - 3 - 1 ) / ( 8 - 1 ) ) 	0.36
 ( 8 - 3 ) / 8 * ( ( 8 - 3 - 1 ) / ( 8 - 1 ) ) 	0.36
12 * 54 * 0.2778	180.01
math.sqrt ( 6 ** 2 + 8 ** 2 ) 	10
15 * ( ( 3 + 2 ) * 2 * 3 * 4 * 100 + ( 3 + 4 ) * ( 3 + 2 ) * ( 3 + 2 ) * 2 + 3 + 3 ) / 100	1853.4
15 + 30	45
 ( 181 - 1 - ( 99 + 1 ) ) / 2 + 1	41
5 * 4 - 12	8
math.log ( 10 / 0.0010101 ) /math.log ( 10 ) 	4
3 ** 3 * 3	81
3 ** 3 * 3	81
8 * 3 * 5	120
2 * 2 * 2 * 3 * 3 * 3	216
35 * 8 / ( 8 - 3 ) 	56
0.75 * 6 / 5	0.9
0.75 * 6 / 5	0.9
14 ** 2 -math.pi* ( 14 / 2 ) ** 2	42.06
4 - 4 - 1 / 1	-1
 ( 10 + 100 ) / 100 * 10000 * ( ( 10 + 100 ) / 100 ) 	12100
 ( ( 41 - 10 - 2 ) / 4 + 2 + 2 ) ** 2 + ( ( 41 - 10 - 2 ) / 4 + 2 + 2 + 2 ) ** 2 + ( ( 41 - 10 - 2 ) / 4 ) ** 2 + ( ( 41 - 10 - 2 ) / 4 + 2 ) ** 2	440.25
math.pi* 10 * 2	62.83
 ( ( 35 / 100 + 1 ) * ( 1 + 15 / 100 ) - 1 ) * 100	55.25
12000 / 20000 * 36000 + 16000 / 20000 * 36000 + 36000	86400
 ( 27 - 24 ) / ( 24 - 17 ) 	0.43
 ( 32 * 75 / 100 * ( 4 + 1 ) * 2 + 450 ) / ( ( ( 4 + 1 ) * 2 - 3 ) * 32 + ( 100 + 25 ) / 100 * 3 * 32 ) * ( 100 + 25 ) / 100	2.51
14 * 25 * 7 / ( 5 * 15 ) 	32.67
 ( 50 / 2 - 1 ) / ( 50 - 1 ) * 50 / 2 / 50 * 2	0.49
60 * 80 * 60 / ( ( 80 - 60 ) * 60 ) / ( 60 / 10 ) 	40
 ( 2 / 100 + ( 11200 - 8000 ) / 3 / 8000 ) * 8000 * 3 + 8000	11680
 ( ( 1 + 2 ) * 20 / 2 + 3 * 3 / 100 ) / ( ( 100 + 25 ) / 100 ) / ( ( 20 + 100 ) / 100 ) / ( ( 100 + 18 ) / 100 ) 	17
40 * 4 / ( 12 * 1000 / 3600 ) 	48
 ( 700 + 602 ) / 2 * ( ( 700 - 602 ) / 2 + 1 ) 	32550
 ( 40 * 10 + 30 * 10 ) / ( 10 + 10 ) 	35
300 - 300 / 3 / 10	290
 ( 4 + 3 ) / ( 8 * 2 ) 	0.44
15 - ( 1 + 4 ) - 6	4
600 / ( 5 / 100 ) 	12000
125 - 78 + 1	48
125 - 78 + 1	48
20 + 20 - ( 1 + 1 ) 	38
3 / 5 - 2 / 5	0.2
1 / ( 1 - 1 / ( 2 * 2 ) ) 	1.33
 ( 18 * 2 - 2 ) / 2	17
100 - ( 100 + 10 - ( 100 + 10 ) * 40 / 100 ) 	34
300 / ( 50 * 0.2778 - 34 * 0.2778 ) 	67.49
3 * 4 * 30 / 3 * 4 / 3	160
98 - ( 98 / ( 10 / 2 ) + 98 / 3 - 98 / ( 10 / 2 * 3 ) ) 	52.27
1 * 12 / 4	3
 ( 120 + 70 ) / 2	95
60 - 30 + 20 * 60 / 100	42
 ( 650 * 20 / 100 + 190 ) * 100 / 25	1280
8 * 6 - 16	32
100 - 35 / ( 35 / 35 ) 	65
3.0 * 100 * 10 * 10 * 2 / 100	600
8 - 3 * 2 / ( 3 * 2 ) - 5	2
 ( 163 * ( 1 + 1 + 2 ) - ( 126 + 126 ) ) / 2	200
100 - ( 25 + 40 - 35 ) 	70
 ( 49 / 3 / 3 + 49 / 3 * 2 / 3 ) / 2	8.17
100 * ( 30.00 - 10.50 * 2 ) / ( 10.50 * 2 ) 	42.86
1 / ( 1 / 4 - 1 / 6 ) 	12
 ( 8000 * 4 + 9000 / 3 * 2 * 4 ) / ( 9000 * 2 * 3 + ( 9000 - 9000 / 3 ) * 2 * 3 ) 	0.62
42 * 2	84
330 / ( 3 * 2 + 4 + 5 ) * 4	88
6 / 11	0.55
13 ** 2	169
9 * 60.0 / 100	5.4
9 * 60.0 / 100	5.4
100 * 100 / ( 2 * 100 ) 	50
1 / ( 1 / 18 + 1 / ( 4 + 2 ) + 1 / ( 2 * ( 4 + 2 ) ) ) 	3.27
240 / 10 / ( 240 / 10 ) 	1
240 / 10 / ( 240 / 10 ) 	1
2.12 + 4 / 1000 + 345 / 1000	2.47
 ( 6 - 3 ) / 6	0.5
1300 * 25 / 100 / 5	65
30 * ( 16 + 1 / 2 ) / ( ( 2 + 1 / 2 ) * 2 ) 	99
 ( 4 + 3 ) * 20 * 3 / ( 3 + 2 ) / 4 * 3 / ( 4 + 3 ) - 20 * 2 / ( 3 + 2 ) 	1
5292 / ( 5 / 100 + 1 ) ** 2	4800
0.2778 * 56	15.56
0.65 * 45 * 12	351
6 * 14 / ( 14 - 12 ) 	42
234 / ( ( 1 + 20 / 100 ) * ( 1 + 25 / 100 ) ) 	156
2 * 90 / 50	3.6
 ( 64 - 49 ) / 64 * 100	23.44
30 * 1.6	48
90 / ( ( 15 + 3 ) * 0.2778 ) 	18
 ( 12 * 15 - 15 ) / ( 12 * 15 / 9 ) 	8.25
2640 / ( 5000 * 2 + 3000 * 4 ) * 100	12
26 / 3 / 26	0.33
56 / ( ( 100 - 30 ) / 100 * ( 20 / 100 ) ) 	400
2 *math.sqrt ( 219 / 2 ) 	20.93
1 * 1 / ( ( 20 / 7 + 21 ) / 7 * 2 - 7 - 3 ) 	-0.31
60 + 8	68
5 * 2 * 3 / 2 - 3 * 3	6
30 * ( 3 + 2 ) / ( 40 - 30 ) * 40	600
4 * 1 / 2 ** 4	0.25
4 * 1 / 2 ** 4	0.25
2 * ( 75 + 5 * 5 ) / ( 2 * 5 - 5 ) 	40
51200 + 1 / 8 * 51200 + 1 / 8 * ( 51200 + 1 / 8 * 51200 ) 	64800
 ( 10 * 6.2 + 4 ) / 10	6.6
 ( ( 18 / 100 + 1 ) / ( ( 1 - 20 / 100 ) * ( ( 20 - 14 ) / 20 ) ) - 1 ) * 100	391.67
100 / 4 * 1	25
10 * 20 / ( 14 - 10 ) 	50
 ( 4 * 100 * 100 * 12 - 2 * 100 * 100 * 12 ) / ( 80 * 100 * 10 ) 	3
5555 / 9999 * 100	55.56
1397 / 1397 * 100	100
6 + 10 + 10	26
6 + 10 + 10	26
6 + 10 + 10	26
 ( 80 * 15 + 20 * 20 ) / ( 80 + 20 ) * 35 / 100 + ( 80 * 15 + 20 * 20 ) / ( 80 + 20 ) 	21.6
 ( 5 + 120 ) / ( 5 * 120 ) 	0.21
 ( 118 * 15 - 129 * 11 ) / ( 129 * 11 ) * 100	24.74
 ( 118 * 15 - 129 * 11 ) / ( 129 * 11 ) * 100	24.74
 ( 100 * 4 + 4 * 100 / ( 1 + 4 ) * 4 ) / ( 100 + 4 * 100 / ( 1 + 4 ) ) 	4
16 * 84 * 0.2778 - 140	233.36
 ( 70 * 3 - 70 * 3 * 2 / 3 ) / ( 3 - 1 ) 	35
1 * 1	1
594 * 897 * 929 * 462 - ( 594 * 897 * 929 * 462 - ( 4 + 4 ) ) 	8
1 * 10 * 10 * 3	300
20 * ( 63 * 0.2778 ) 	350.03
330 / ( 10 * 330 * ( ( 100 + 10 ) / 100 ) / ( 330 * ( ( 100 + 10 ) / 100 ) - 330 ) ) 	3
 ( 217 - 1 ) ** ( 1 / 3 ) 	6
math.floor ( 136 / 9 ) 	15
72 * ( 10 - 8 ) / 8	18
72 * ( 10 - 8 ) / 8	18
600 / 10 * 5 * 3 + 600 / 10 * 5	1200
24 * 24	576
427751 -math.floor ( 427751 / 10 ) * 10	1
660 / ( 20 / 100 + 1 ) 	550
 ( 2 * 3 * 60 / ( ( 2 * 3 * 60 - 2 * 3 * 60 / ( 3 * 4 ) ) / 60 ) - 65 ) * 60	27.27
 ( 180 - 170 ) / ( 184 - 180 ) 	2.5
735 * 3 - 650 * ( 3 - 1 ) 	905
52000 - 60 * 100	46000
10 * 15 / ( 20 - 15 ) * 20 / ( 20 + 10 * 15 / ( 20 - 15 ) ) 	12
3 + ( 50 - 31 - 3 ) / 2 + 14	25
6 / ( 20 / 100 + 6 ) 	0.97
4 * 2 - 1 * 2	6
16 + 1 + 1 + 1	19
 ( 3 * 2 * 2 + 2 ) / ( 2 * 5 * 3 ) 	0.47
 ( 1 + 1 / 2 + 1 / 2 + 1 / 2 ) / ( 1 / 2 + 1 / 2 + 1 / 2 ) 	1.67
 ( 7 - 1 + 7 ) * 22 / ( 6 - 1 + 6 ) 	26
100 / 600 * ( 100 * ( 3 + 2 ) * 2 ) - 100	66.67
25 * 15 / 20	18.75
 ( 5 + 2 ) ** 2 - 23 * 4	-43
5 * 2	10
80 / 160 * 100	50
2001 + ( 40 / 100 + 4.40 - 4.20 ) / ( 30 / 100 - ( 4.40 - 4.20 ) ) 	2007
 ( 300 / ( 18 / 3 ) * 39 - 3 * 300 ) / 3	350
 ( 300 / ( 18 / 3 ) * 39 - 3 * 300 ) / 3	350
39 * 24 * 5 / ( 30 * 6 ) 	26
 ( 20 + 4 ) / 60	0.4
1 / 0.04	25
200 + 200 / 100 * 20 - ( 200 + 200 / 100 * 20 ) / 100 * 30	168
 ( 92 / 2 + 92 / 8 ) / 92	0.62
 ( 27 ** 2 / 56 -math.floor ( 27 ** 2 / 56 ) ) * 56	1
90 / ( 4 * ( 3 + 1 / 2 ) / 100 ) 	642.86
8400 * 5000 * 8 / ( 5000 * 8 + 6000 * 5 ) 	4800
7 / ( 2 + 7 ) 	0.78
20 / 100 * ( 40 / 100 ) * ( ( 20 + 2 ) / 20 ) * 100 * 100	880
 ( 6 * 3 + 6 ) / 10	2.4
 ( 80 + 40 - 10 ) * 10 * 3	3300
1200 * 600 / 10 + 50	72050
 ( 5 - 0.375 / 5 * 50 ) / ( 1.375 / 10 - 0.375 / 5 ) / ( 50 - ( 5 - 0.375 / 5 * 50 ) / ( 1.375 / 10 - 0.375 / 5 ) ) 	0.67
200 + 350 - 300	250
 ( 12.00 - 7.00 ) / ( 0.25 - 0.20 ) 	100
 ( 1 - 12 / 100.0 ) * 50	44
 ( 50 - 20 ) * 8 / 10	24
2 * 4 * 2	16
6 + 8 - 3	11
5 * ( 11 * 10 - 10 * 10 ) / ( 10 * 6 - 11 * 5 ) + 6	16
70 / ( 13 + 5 ) 	3.89
 ( 60 - 20 ) / ( 60 + 20 ) * 100	50
1 / ( 4 + 3 + 1 ) * 600	75
 ( 220 - 2 - ( 20 + 2 ) ) / ( 2 + 4 ) + 1	33.67
 ( 4 ** 3 + 1 + 3 ** 3 ) ** 0.33	4.45
12 * 100 / 10	120
math.floor ( ( 9 / 72 - 7 / 60 ) * 100 ) 	0
5 * 5 / 100	0.25
50 * 6 / 100 * 1	3
8 * 2 * 4	64
20 / ( 1 - ( 1 / 5 + 1 / 4 + 1 / 2 ) ) 	400
42.5 / 0.85	50
 ( 26 - 6 ) * 2 / 5	8
400 / ( 144 * 0.2778 ) 	10
85 - 2 - ( 62 + 4 + 1 ) 	16
85 - 2 - ( 62 + 4 + 1 ) 	16
60 + 4 + 4 + ( 60 + 4 + 4 ) * 4 + 3 * 1 + 3 * 2 * 2	355
1650 / ( 1 - 35 / 100 - 35 / 100 ) 	5500
 ( 18 * 10 + 18 * 10 / 2 ) / ( 18 * 10 / 8 + 18 * 10 / 2 / 18 ) 	9.82
10 * 1	10
math.pi*math.sqrt ( 25 ) * 2	31.42
60 - 60 * 51 / 67	14.33
 ( 9 - 0.25 - 0.25 ) ** 2	72.25
 ( 8 + 1 ) * ( 24 + 8 ) - 24 * 8	96
4 * 60 / ( 15 + 60 ) 	3.2
90 * ( 6 + 4.5 - 1 ) / 2	427.5
100 * ( 10 / 2 - 3 ) + 10 / 2 * 10 + 3	253
 ( 165 + 110 ) / ( 132 * 0.2778 ) 	7.5
 ( 165 + 110 ) / ( 132 * 0.2778 ) 	7.5
4 * 9 / ( 50 / 100 ) 	72
1 / ( ( 13 + 2 ) * 10 ) / ( 1 / ( 13 * 10 ) ) 	0.87
1.6 * 213	340.8
100 * ( 2 - 1 ) 	100
3 ** ( 3 + 1 ) - 1	80
15 * 225	3375
 ( 80 - 68 ) / 80 * 100	15
5 + 6 - 10 + 1 + 5 + 6 - 10 + 5 + 6 - 10 + 5 + 6 - 10 + 5 + 6 - 10 + 5 + 6 - 10	7
8 ** 2 * 2 / 16	8
7 * 4 / ( 4 + 1 ) 	5.6
1 * 1000 / ( 20 / 10 ) - 10	490
 (math.sqrt ( 4 * 21 + 4 ** 2 ) + 4 ) / 2	7
47.50 * ( 100 + 25 ) / 100 / ( 100 - 5 ) * 100	62.5
1470 / 210 * ( 4 + 3 ) 	49
100 / ( 10 + 4 ) * ( 20 * 10 / 100 + 35 * 4 / 100 ) 	24.29
 ( ( 61 - 10 - 2 ) / 4 + 2 + 2 ) ** 2 + ( ( 61 - 10 - 2 ) / 4 + 2 + 2 + 2 ) ** 2 + ( ( 61 - 10 - 2 ) / 4 ) ** 2 + ( ( 61 - 10 - 2 ) / 4 + 2 ) ** 2	950.25
144 / 18	8
7 * 2	14
250 + 550 - 650	150
1 / ( 2 + 4 ) * 3600 / 10 * 100	6000
 ( 80 + 40 ) / 2	60
 ( 200 + 250 ) / ( ( 72 + 18 ) * 0.2778 ) 	18
math.log ( 2 ** 10 ) 	6.93
1 / ( 1 / ( 4 + 1 / 2 ) - 1 / 4 ) 	-36
 ( 19 ** 7 + 19 ) / 19	47045882
6 * 10 / 50 * 10 ** 4 / 1000 * 6	72
5 / 2 - 4 * 4	-13.5
1000 + 1000 * 25 / 100	1250
 ( 31 - 28 ) * 400 / 300	4
2 / ( 1 + 4 ) * 2 / 4 + 2 / ( 1 + 4 ) * 2 / 4	0.4
 ( 140 + 210 ) / ( ( 60 + 40 ) * 0.2778 ) 	12.6
 ( 140 + 210 ) / ( ( 60 + 40 ) * 0.2778 ) 	12.6
 ( 2 + 4 + 7 + 17 ) / ( 4 + 1 ) - 4	2
 ( 84 / 4 - 60 / 4 ) / 2	3
 ( 84 / 4 - 60 / 4 ) / 2	3
 ( 110 + 165 ) / ( 132 * 0.2778 ) 	7.5
10 * ( 4 + 1 ) / 12 - ( 4 + 1 ) 	-0.83
2 / ( 2 + 3 - 1 ) 	0.5
 ( 4 + 1 ) * ( 4 + 1 ) * ( 4 + 4 ) * 1 * 1	200
1 / ( 1 + 4 ) * 1 / ( 1 / 6 - 1 / 10 ) 	3
 ( 100 + 10 - ( 100 + 100 + 10 ) / 2 ) / ( 100 + 10 ) * 100	4.55
3 * 5 / ( ( 3 + 5 ) * ( 5 + 2 ) / 2 ) 	0.54
10 * 24 / ( 24 + 21 ) * 21 * 2	224
6 / 60 * 80	8
880 / 100 * ( 100 - 50 ) 	440
85 * 70 / ( 85 - 70 ) 	396.67
10 - ( 10 - 5 / 2 ) / 2	6.25
 ( 8 * 70 - 400 ) / ( 70 - 20 ) 	3.2
400 / ( 5 / 100 * ( ( 100 - 10 ) / 100 ) - 20 / 100 * ( 10 / 100 ) ) 	16000
 ( 13 + 9 ) / 2	11
1 * 5	5
 ( ( 100 - 10 ) * 1000 / ( ( 100 - 10 ) * 1000 - 0.25 * 100 * 1000 ) - 1 ) * 100	38.46
100 - ( 100 - 50 ) / 100 * ( 100 - 25 ) 	62.5
10 / 100 / ( 1 / 2 ) 	0.2
 ( 2 * 6 * 10 - 3 / 2 * 6 * 10 ) / 6	5
250 * 100 / ( 100 + 25 ) 	200
6 / 6 + 6 / 8	1.75
250 * 4 - 100	900
250 * 4 - 100	900
10 * 15 / 5	30
75 / 6 / 0.2778 - 5	40
 ( 100 + 100 ) / ( 5 * ( 1 + 2 ) ) * 2 * 3600 / 1000	96
125 / 25	5
 ( 3 ** 2 - 1.8 ** 0.5 ) / 1000 / 1000 * 3 - ( 3 ** 2 - 1.8 ** 0.5 ) / 1000 / 1000	0
600 / 60 * 60 + 600 / 60 * 60	1200
288 / ( ( 62 - ( 100 - 62 ) ) / 100 ) * 62 / 100	744
17 * ( 17 - 1 ) * 10 / 2	1360
7 / 1 / 3 - 3	-0.67
math.log ( 8 ) /math.log ( 8 ** 9 ) 	0.11
 ( ( 5000 * 10 - ( 4000 + 5000 + 5000 ) ) / 3 + 4000 + 5000 ) * 3 * 12 * 1000 / ( 5000 * 10 ) 	15120
 ( 5.94 - 27 * 200 / 1000 ) / 3 * 1000	180
 ( 20 + 25 ) * 75 / ( 25 - 20 ) 	675
3 + 4	7
2 * ( 1 + 1 / 2 ) 	3
 ( 2 * 100 + 100 / 2 ) / 850 * 100	29.41
 ( 2 - 3 / 3 ) * 0.25 * 100 * 100 * 10 * ( 2 / 3 + 2 ) 	66666.67
4 * 2 * 4	32
200 / 500 * 100	40
10 * 10 * ( 1 - ( 10 * 60 + 8 ) / ( 10 * 60 + 40 ) ) 	5
math.floor ( 24000 * 100 / ( 100 - 40 ) * ( 100 + 40 ) / 100 / 100 / 40 * 2 ) 	28
790 / 50	15.8
100 * ( 10 / 100 + 3 * 20 / 100 ) / ( 1 + 3 ) 	17.5
4 * 6 * 100 + 5 * 6	2430
0.6 + 0.25 - 0.4	0.45
8 * ( 11 - 8 ) * 11	264
60 / ( 21 - 14 ) * 14 + 60 / ( 21 - 14 ) * 21	300
4 * 4	16
50 / 10	5
5 + 5 * 1 / 5	6
100 ** 2 * 3 / 100 * 3 / 3	300
 ( 20 + 1 ) * 5 - 47	58
 ( 1 - ( 1 / 12 + 1 / 9 ) * 3 ) / ( 1 / 24 ) 	10
8000 * ( ( 1 + 2 / 100 ) * ( 1 + 2 / 100 ) * ( 1 + 2 / 100 ) ) - 8000 * ( 1 + 2 / 100 ) * ( 1 + 4 / 100 ) 	3.26
210 * 2 / 5 + 2 * 5	94
3 * ( 1 / 3 - ( 1 / 6 + 1 / 8 ) ) * 3840	480
 ( 13698 - 14 ) / 89	153.75
3 / 4 * 1000	750
38 / 2 - 5	14
 ( 500 + 500 / 2 ) * 2 - 500	1000
825 - ( 854 - 825 ) * 3 / 4	803.25
150 / ( 0.2778 * 54 ) 	10
 ( 4 - 3 ) / ( 10 - 4 ) 	0.17
5 - 2	3
5 - 2	3
5 ** 3	125
45000 / 100 * ( 40 - 33 ) 	3150
 ( 2 * 10 + 2 ) / ( 3 + 4 ) * ( 5.4 * 5.4 * 1 * 60 / ( 100 * 3.6 ) ) 	15.27
10 * 1 * 4	40
 ( 30 / 0 ) 	None
50 / ( 50 / 24 + 50 / 40 + 50 / 30 ) 	10
6800 * 30 / 136	1500
90 * 4 - 85 * 3	105
 ( 10 + 12 + 6 * 2 ) / 2	17
1000 / 2 * 1000 / ( 1000 / 2 * 1000 / 35 / 15 * 25 ) 	21
3639 + 11.95 - 3054	596.95
3 / 20 * 100	15
1 - 80 / 100	0.2
math.lcm ( 18 , 24 ) 	72
50 * 44 / 50 / ( 50 + 5 ) 	0.8
25 - 30 / 100 - 30 / 10	21.7
math.factorial ( 4 + 15 - 1 ) / (math.factorial ( 15 ) *math.factorial ( 4 - 1 ) ) 	816
5 * 2 - 5	5
9 / 16	0.56
2468 - 2468 / ( 1 + 7 / 100 ) 	161.46
48 * ( 15 + 24 / 4 * 3 + 8 / 2 * 3 ) / ( 15 + 30 + ( 24 + 60 ) / 4 * 3 + 8 / 2 * 3 ) 	18
 ( 50 + 4 ) ** 4	8503056
1 - ( 1 - 2 / 3 ) * ( 1 - 3 / 4 ) 	0.92
2 / 2 / 1000	0
 (math.sqrt ( ( 20 - 1 ) ** 2 + 540 - 8 * 20 ) - ( 20 - 1 ) ) / 2	4.11
 ( 120 + 80 ) / 3.6 * 9 - 270	230
32 * 2 / 3	21.33
3 * 40 / ( 3 + 5 ) 	15
100 - ( 100 - 70 + 100 - 75 + 100 - 65 + 100 - 95 ) 	5
1 + ( 12 - 4 ) * 4 * 4	129
 ( 12 / 100 + 1 ) ** 3 * 25000 - 25000	10123.2
10 * 10 / ( 15 - 10 ) 	20
 ( ( 85 + 2.5 * 2 ) * ( 55 + 2.5 * 2 ) - 85 * 55 ) * 2	1450
60 / ( ( 18 + 3 ) * 0.2778 ) 	10.28
 ( 170 + 100 ) / ( ( 50 + 70 ) * 0.2778 ) 	8.1
96 - 19 * 4 + 4	24
12 * 4	48
12 * 4	48
286 / ( 8 + 5 ) * 8 / ( 286 / ( 8 + 5 ) * 5 + 22 ) 	1.33
 ( 1 +math.sqrt ( 2 ) ) ** 2 * ( 1 +math.sqrt ( 2 ) - 2 ) ** 2 + 4	5
 ( 325 + 100 ) / 17	25
 ( 325 + 100 ) / 17	25
 ( ( 100 + 4 ) ** 2 - 100 ** 2 ) * 100 / 100 ** 2	8.16
8 * 70 + 9 * 55	1055
math.sqrt ( 9 ) +math.sqrt ( 64 ) 	11
63 / ( 10 - 1 ) 	7
330 * 12	3960
math.factorial ( 4 + 13 - 1 ) / (math.factorial ( 13 ) *math.factorial ( 4 - 1 ) ) 	560
30 * ( 3 + 2 ) / ( 40 - 30 ) * 40	600
4 / 5 - 2 / 5	0.4
100 / 10 * 5	50
 ( 120 - 6 * 0.2778 * 6 ) / 6 / 0.2778	65.99
 ( 32 / 2 + ( 64 - 32 ) * 2 - 64 ) / 64 * 100	25
25 * 50 / 2	625
20 * 3 * 2 - 10	110
20 * 3 * 2 - 10	110
40 * 15 / 25	24
160 * ( 4 * 2 + 4 ) / 40	48
math.pi* 22 / 2 * 2 * 3	207.35
151 * 7 - 6 * 156	121
2 * 15	30
7 + 11	18
math.floor ( 100 / 7 + 100 / 7 ** 2 ) 	16
 ( 3 + 5 + 2 ) * 145 - 5 * 150 - 3 * 100	400
2 * 60 / 8	15
6 * 4 / 2	12
 ( 30 - 26 ) / ( 30 - 19 ) 	0.36
1 / ( 1 / 4 + 1 / 10 ) 	2.86
0.2778 * 30	8.33
100 * 16 * 6 / ( 5 * 16 - 5 * 6 ) 	192
9 - 6	3
 ( 1900 - 1330 ) / 1900 * 100	30
25 * 13 * 5280 / 3600	476.67
 ( 14 - 4 ) / ( 1 + 1 ) / ( ( 14 - 4 ) / ( 1 + 1 ) + 4 ) 	0.56
8900 / 6 / 4	370.83
10 / ( 1 + 10 / 100 ) 	9.09
100 * ( 2 - 1 ) 	100
30 * 1000 / 3600 * 12	100
3 * 5 * 100 + 4 * 5	1520
math.factorial ( 4 + 210 - 1 ) / (math.factorial ( 210 ) *math.factorial ( 4 - 1 ) ) 	1587986
 ( 65 + 25 ) / ( 20 + 25 ) + 7	9
 ( 385 - 320 ) / 320 * 100	20.31
400 * 100 / ( 100 - ( 100 - 10 + ( 100 - 10 ) * 5 / 100 ) ) 	7272.73
400 * 100 / ( 100 - ( 100 - 10 + ( 100 - 10 ) * 5 / 100 ) ) 	7272.73
8480 / 26.50 / 2 - 2 * 20	120
